player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
540186,2021,48726,danylo-kondrakov,Danylo Kondrakov,Ukraine,Ukraine,1998-01-19,Attack,attack - Centre-Forward,Right,182,270000.0,270000.0,https://www.transfermarkt.co.uk/danylo-kondrakov/profil/spieler/540186,23
381430,2021,48726,fabricio-alvarenga,Fabricio Alvarenga,Argentina,Argentina,1996-02-17,Attack,attack - Right Winger,Right,175,270000.0,1620000.0,https://www.transfermarkt.co.uk/fabricio-alvarenga/profil/spieler/381430,25
222079,2021,2740,ruslan-stepanyuk,Ruslan Stepanyuk,Ukraine,Ukraine,1992-01-16,Attack,attack - Centre-Forward,Both,181,720000.0,720000.0,https://www.transfermarkt.co.uk/ruslan-stepanyuk/profil/spieler/222079,29
737740,2021,48332,stanislav-koval,Stanislav Koval,Ukraine,Ukraine,2002-05-01,Attack,attack - Centre-Forward,Right,177,68000.0,90000.0,https://www.transfermarkt.co.uk/stanislav-koval/profil/spieler/737740,19
622410,2021,18303,denys-ustymenko,Denys Ustymenko,Ukraine,Ukraine,1999-04-12,Attack,attack - Centre-Forward,Right,185,270000.0,270000.0,https://www.transfermarkt.co.uk/denys-ustymenko/profil/spieler/622410,22
91801,2021,2740,oleksandr-sklyar,Oleksandr Sklyar,UdSSR,Ukraine,1991-02-26,Midfield,midfield - Central Midfield,Both,175,540000.0,630000.0,https://www.transfermarkt.co.uk/oleksandr-sklyar/profil/spieler/91801,30
203854,2021,48726,andriy-boryachuk,Andriy Boryachuk,Ukraine,Ukraine,1996-04-23,Attack,attack - Centre-Forward,Right,176,360000.0,720000.0,https://www.transfermarkt.co.uk/andriy-boryachuk/profil/spieler/203854,25
396411,2021,18105,vladyslav-bugay,Vladyslav Bugay,Ukraine,Ukraine,1997-10-27,Attack,attack - Centre-Forward,Right,186,180000.0,180000.0,https://www.transfermarkt.co.uk/vladyslav-bugay/profil/spieler/396411,24
48280,2021,985,edinson-cavani,Edinson Cavani,Uruguay,Uruguay,1987-02-14,Attack,attack - Centre-Forward,Right,184,3600000.0,54000000.0,https://www.transfermarkt.co.uk/edinson-cavani/profil/spieler/48280,34
91479,2021,2740,sergiy-yavorskyi,Sergiy Yavorskyi,UdSSR,Ukraine,1989-07-05,Defender,Defender - Centre-Back,Right,192,360000.0,720000.0,https://www.transfermarkt.co.uk/sergiy-yavorskyi/profil/spieler/91479,32
