country,pretty_name,position,market_value_in_gbp,age,LongitudeMeasure,LatitudeMeasure,value
Belgium,Albert Sambi Lokonga,Midfield,14400000.0,22,5.417638411337297,50.79538135565292,"14,400,000.0"
Belgium,Divock Origi,Attack,10800000.0,26,4.420601369170838,49.96495794216345,"10,800,000.0"
Belgium,Leandro Trossard,Attack,15300000.0,27,4.144730767213879,50.787837889524106,"15,300,000.0"
Belgium,Leander Dendoncker,Midfield,27000000.0,26,4.4542435815950405,50.38350300886818,"27,000,000.0"
Belgium,Kevin De Bruyne,Attack,81000000.0,30,4.689067752296577,50.12692966913868,"81,000,000.0"
Belgium,Aske Sampers,Attack,135000.0,20,5.185246636497798,49.79672901657069,"135,000.0"
Belgium,Alessandro Albanese,Attack,405000.0,21,4.814232715933352,50.87822897806627,"405,000.0"
Belgium,Indy Boonen,Attack,405000.0,22,3.00770418797868,51.1542342157242,"405,000.0"
Belgium,Siebe Wylin,Defender,180000.0,18,5.453311153956851,50.29635018109319,"180,000.0"
Belgium,Anton Tanghe,Defender,900000.0,22,4.883060280312662,50.08963062727742,"900,000.0"
Belgium,Julien Ngoy,Attack,810000.0,24,5.51688948623092,49.78678582187917,"810,000.0"
Belgium,Jerome Deom,Midfield,450000.0,22,4.364563973462095,50.67679689387436,"450,000.0"
Belgium,Stef Peeters,Midfield,1260000.0,29,4.811595890207894,50.27931788698098,"1,260,000.0"
Belgium,Jens Cools,Midfield,450000.0,31,5.419502509836263,51.12357317112527,"450,000.0"
Belgium,Guillaume Hubert,Goalkeeper,675000.0,27,4.702167396985396,50.32644568895312,"675,000.0"
Belgium,Boris Lambert,Defender,585000.0,21,4.829017828330224,50.9491594027398,"585,000.0"
Belgium,Tom Roufosse,Goalkeeper,23000.0,20,3.8214765029979385,50.62299959610877,"23,000.0"
Belgium,Brecht Capon,Defender,225000.0,33,4.104713949792442,50.34015341762029,"225,000.0"
Belgium,Jonathan Heris,Defender,405000.0,31,3.922951872144826,50.33497552640198,"405,000.0"
Belgium,Andi Koshi,Midfield,90000.0,20,5.471172897518882,50.39439743637786,"90,000.0"
Belgium,Charles Vanhoutte,Midfield,720000.0,23,4.580378060597975,51.162290548214415,"720,000.0"
Belgium,Hannes Van Der Bruggen,Midfield,675000.0,28,4.1033167057828335,51.13319070006408,"675,000.0"
Belgium,Alexander Corryn,Defender,315000.0,27,3.881632267019056,50.59501538387919,"315,000.0"
Belgium,Senna Miangue,Defender,720000.0,24,4.383418504867912,51.31971187875873,"720,000.0"
Belgium,Sebastien Bruzzese,Goalkeeper,90000.0,32,5.328312737886497,50.22143884633508,"90,000.0"
Belgium,Thibo Somers,Attack,900000.0,22,6.120557270960868,50.79701456905915,"900,000.0"
Belgium,Olivier Deman,Attack,1170000.0,21,2.9025745904800204,50.94249701876339,"1,170,000.0"
Belgium,Giannelli Imbula,Midfield,540000.0,29,5.08718405715609,49.93847745253385,"540,000.0"
Belgium,Benson,Attack,2700000.0,24,4.827040421486814,51.34853033467299,"2,700,000.0"
Belgium,Zakaria Bakkali,Attack,225000.0,25,4.095395145538121,50.86871408569069,"225,000.0"
Belgium,Anouar Ait El Hadj,Attack,3600000.0,19,5.75232424827485,50.58745919182682,"3,600,000.0"
Belgium,Yari Verschaeren,Attack,11700000.0,20,4.7003113915351005,51.40387718759593,"11,700,000.0"
Belgium,Benito Raman,Attack,2700000.0,27,3.940412812097893,50.63797737579275,"2,700,000.0"
Belgium,Lucas Lissens,Defender,540000.0,20,5.041113394040495,51.15144519695642,"540,000.0"
Belgium,Rik Vercauteren,Goalkeeper,90000.0,20,3.0020596948352494,50.88252979427008,"90,000.0"
Belgium,Hendrik Van Crombrugge,Goalkeeper,4950000.0,28,5.637643290873892,49.64639138944625,"4,950,000.0"
Belgium,Faris Haroun,Midfield,90000.0,36,4.554905481558432,50.945874614873134,"90,000.0"
Belgium,Pieter Gerkens,Midfield,1800000.0,26,4.932322970928607,51.18933013663256,"1,800,000.0"
Belgium,Radja Nainggolan,Midfield,1800000.0,33,4.485594118200172,50.60697344269464,"1,800,000.0"
Belgium,Birger Verstraete,Midfield,2520000.0,27,5.223520263274287,50.37656176352319,"2,520,000.0"
Belgium,Jelle Bataille,Defender,1800000.0,22,5.649619752642605,49.69451914785313,"1,800,000.0"
Belgium,Ritchie De Laet,Defender,900000.0,33,4.617187029196723,50.54683570778158,"900,000.0"
